"","Log","Cluster"
"975","RT @Jorgey_1993: Redskins Win + Cowboys Lose + Giants Lose + Eagles Lose = A Good Day To Be A Redskins Fan #HTTR",7
"976","RT @ThatOGbrii: Fuck u , its not. RT @LoveAngelLexis: Redskins play Dallas Sunday. Gone be just like Thanks giving.",5
"977","All he want is a Redskins hat & a game!! U got it Boo!!",6
"978","Redskins in first place, we making moves this season 😁",6
"979","@mcroc I certainly want #Seahawks to beat #Redskins #NYGiants need to re-tool. Old friend works for #Niners so have to be with them....",6
"980","ITS A GOOD DAY TO BE A REDSKINS FAN #HTTR #HAILYEAH",7
"981","RT @Kidd_vic98: Some people are already sucking the Redskins . Chill out and give your mouth a break from sucking. lol",6
"982","@ggold3 you owe Washington Redskins fans a huge apology http://t.co/B7ALLt7k",6
"983","Jerry Jones has ‘no thoughts’ of replacing Garrett
http://t.co/jdUaxDjj  #NFL #Cowboys",6
"984","@Mister88 #HTTR hey. Great day to be a Redskins fan.",7
"985","#Redskins have 4 WRs over 500 yards....talk about balance",6
"986","RT @PostSports: Knee injury limits RGIII's athleticism, but not his ability to lead the #Redskins' offense: http://t.co/NPb6rNvQ #NFL",6
"987","RT @PostSports: Jason Reid's analysis from #Redskins - #Eagles: Now that RGIII has shown what's possible, his teammates have responded:  ...",6
"988","@Carlsonsports @neilreynoldsnfl redskins or cowboys? #week16 #HTTR",7
"989","RT @funnydanny: Hanging out this morning with @PeteMedhurst from 10-2 on 106.7 The Fan. Whole bunch of Redskins & Christmas.",6
"990","Former @purpleraiders WR @PierreGarcon had 7 catches for 89 yards in #redskins 27-20 win over #eagles #nfl #d3fb",6
"991","RT @jaimiegraham: We all remember 2nd Dallas game in 05! MT @_JakeRussell Redskins have won 4 division games for the 1st time since 2005 ...",6
"992","NFL Washington... http://t.co/yVk2xDPb",6
"993","Jerry Jones has ‘no thoughts’ of replacing Garrett
 jdUaxDjj   NFL #Cowboys  http://t.co/RvgJq7lI",6
"994","Who gives a fuck rt “@TheRedzoneorg: Jerry Jones has ‘no thoughts’ of replacing Garrett
http://t.co/8fyeCj2C  #NFL #Cowboys”",6
"995","per @kffl - Redskins | Robert Griffin effective throwing the deep ball http://t.co/tAuTmSAm",6
"996","RT @pabloviruega: Dallas con victoria vs Wash es Camp Divisional xq irían al criterio de desempate de récord vs rivales comunes y Dal le ...",6
"997","RT @SuperSkin1: Fans of NFC East teams other than the #Redskins:  Bow down.  Santa can't bring you anything that we don't already own.   ...",6
"998","NFL: Cowboys can't rely on shorthanded defense - Injuries, new players at key positions and missed plays too much to... http://t.co/o0pAMo0s",6
"999","redskins win against the eagles 27-20",6
"1000","week 17 power rankings:
1. Falcons
2. Broncos
3. Patriots
4. Packers
5. Texans
6. 49ers
7. Seahawks
8. Redskins
9. Bengals
10. Ravens
#NFL",3
"1001","Cowboys will NOT beat the Redskins.",1
"1002","@Holdenradio the build up.  I'm 25. I've never bore witness to a Redskins game of this magnitude.",6
"1003","RT @REAL_KC_: But this Redskins Cowboys game next week will be good",1
"1004","#fantasyfootball: Robert Griffin III returns to lead Washington Redskins over Philadelphia Eagles http://t.co/BiS4LQ8n",6
"1005","RT @Ro_Gunnz: Cowboys will NOT beat the Redskins.",1
"1006","Can't wait till Sunday night #redskins",10
"1007","Time expires on Philadelphia Eagles' head coach Andy Reid in loss to Redskins http://t.co/HvWbnGzW",6
"1008","NewarkStarLedger: Time expires on Philadelphia Eagles' head coach Andy Reid in loss to Redskins  http://t.co/Tm8juWd8",6
"1009","RT @firsttake_va: Who wins cowboys/redskins???",6
"1010","random
nfl
#random thought: Randy Moss to the Cowboys? #nfl",6
"1011","RT @PostSports: More on #Redskins vs. #Cowboys being moved to prime time on NBC next Sunday: http://t.co/fzAeP5fi #NFL",8
"1012","@SportsCenter @dallascowboys @Redskins  and I was good this year too",1
"1013","@SportsCenter @dallascowboys @redskins he lost yesterday to NO.",1
"1014","@SportsCenter @dallascowboys @redskins can their defense step up #GotSmokedYesterday",1
"1015","#NFL news: Redskins | Robert Griffin effective throwing the deep ball http://t.co/M2IBuWCc",6
"1016","@SportsCenter @dallascowboys @Redskins any given Sunday",1
"1017","Redskins going to the playoffs just sounds weird",5
"1018","@leekindell go Redskins
#RGIII",6
"1019","@SportsCenter @dallascowboys @Redskins lets be honest, there's no way",1
"1020","NFC east champs = REDSKINS @RGIII @PierreGarcon",6
"1021","RT @StevenPhibbons: Redskins going to the playoffs just sounds weird",5
"1022","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/JBwK3zha",4
"1023","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/hiYinsb8",4
"1024","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/RjLpZlju",4
"1025","RT @NFLCheerRT: FACT: Dallas Cowboys Cheerleaders account has 46K followers. NFL Cardinals team 39K. 
#DCC #socialmedia #strategy #Cowbo ...",6
"1026","Would love to @Wale get at @RealSkipBayless again on @ESPN_FirstTake before this weekend gm. Wake redskins vs skip cowboys",6
"1027","@SportsCenter @dallascowboys @Redskins not gonna happen #RG3",1
"1028","@jrehor basically. Cowboys redskins and giants are all possible too.",6
"1029","I could stare at this all day. #Redskins #Dallasweek http://t.co/gHhP4IUI",6
"1030","@nshev16 pity about new england ! I thought they'd cover handicap! I just done €20 treble on Colts, Redskins and @ChicagoBears at 6/4! #NFL",5
"1031","@SportsCenter @dallascowboys #Jaws, from your lips to God's Ears!! ""Dear Santa all I want for Christmas is a #Cowboys win over the #Skins!""",1
"1032","@SportsCenter @dallascowboys @redskins the espn love fest with certain players is comical.",1
"1033","@ThereseB_DC whoops... sorry.  really ccouldnt see!!!!  Im glad you didnt put her in a Redskins sweater.... a christmas miracle!!!",6
"1034","The way Tony Romo is playing right now leads me to believe he can go into Washington & win that game, rg3 watch out@dallascowboys-@Redskins.",1
"1035","@SportsCenter @dallascowboys @redskins when has Tony Romo ever played the same in consecutive weeks? You never know what to expect-Dez too",1
"1036","I've noticed alot of redskins and broncos fans lately",6
"1037","@RhonaA_CocaCola This #Cowboys fan predicts a big #Redskins win next week. Dallas defense is injury riddled + poorly coached. RGIII romps.",1
"1038","Redskins Beat Eagles, Take NFC East Lead: Robert Griffin III and the Washington Redskins beat the Ph... http://t.co/2Vh9pSps",1
"1039","“@beachrockinc: @SportsCenter @dallascowboys @redskins he lost yesterday to NO.” Yes, but beat Eagles twice & Steelers once! Don't hate!!!",1
"1040","@SportsCenter @dallascowboys @redskins romo is the MVP of choking when it counts #RGIII",1
"1041","Tony Romo, Dallas Cowboys Playoff Dreams Still Alive - Fox News: ESPNTony Romo, Dallas Cowboys Pla... http://t.co/n18GGgQ1 #cowboys #nfl",6
"1042","[Trending on Google] * Happy Holidays * Santa Tracker * NFL playoff picture * Dallas Cowboys * Russell Wilson * Sound of Music * Bruno...",4
"1043","@SportsCenter @dallascowboys @redskins Maybe but hope he actually shows up to this big game, usually doesn't?",1
"1044","RT @MSteng01: All we want for Christmas is a playoff ticket!!! #redskins #rg3 #portis #bringitDallas http://t.co/KDo3KRKm",6
"1045","NFL: Rams 28-13 Bucaneros; Cincinnati 13-10 Pittsburgh; Washington 27-20 Filadelfia; San Diego 27-17 Jets HechosAM http://t.co/sW4cOSIh",6
"1046","Cowboys-Redskins flexed to Sunday Night Football in Week 17 http://t.co/CHH64mkL via @ProFootballTalk",10
"1047","""@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET"" it should be americas game of the week",10
"1048","RT @Toppersweather: “@WUSA9Sports: @AdamSchefter reporting that #Cowboys at #Redskins has been flexed to primetime @wusa9 @GameOnWUSA” B ...",6
"1049","RT @CP_KCallahan: Nick #Foles said the end of game illegal forward pass was ""on him"" after 27-20 loss to Redskins, sounding like Reid ht ...",5
"1050","@dskillz1911 you must want every Redskins fan at your door with torches and pitchforks.",6
"1051","Robert Griffin III returns as Redskins close in on NFC East title http://t.co/PRovb3hi",6
"1052","@SportsCenter the way @dallascowboys is playing leads me to believe, as a @redskins fan, I have nothing to worry about #HTTR",1
"1053","@SportsCenter @dallascowboys @redskins forgot to add- said no one ever",1
"1054","@SportsCenter @dallascowboys @redskins but the cowboys lost......",1
"1055","If this doesn't cheer you up, I don't know what will. #Redskins http://t.co/YKSmH6HS",6
"1056","@_PurpKobain Us lose to the cardinals? Picture that. Lol You a redskins fan?",6
"1057","the redskins and cowboys game got moved to Sunday night! lolol",10
"1058","MT @wmata: Metrorail to stay open an extra hour for Sunday's rescheduled Redskins game http://t.co/mIx6T6zJ #wmata #redskins",6
"1059","BREAKING NEWS - NFL WAS - Can clinch NFC East title for first time since 1999 with win at home next Sunday vs. Cowboys HYFR let's go skins",6
"1060","Dallas Cowboys vs. Washington Redskins Preview and Predictions http://t.co/ZBOsTgdF",6
"1061","@DezBryant kill the redskins for me!",6
"1062","@EnyOzz Merry Christmas #Redskins",6
"1063","Xmas Eve 🎅🎄🎁 kicks off Cowboys/Redskins week. #BigGame",6
"1064","Hail Redskins next week!!!!",1
"1065","@beachrockinc @SportsCenter @dallascowboys @Redskins How ""HE"" lost?? The man did everything in his power! He cant play defense to!!",1
"1066","@CariChampion it's really looking like the redskins!",5
"1067","@TheRealDemarco Been busy with shopping and watching #Redskins. how  about you",6
"1068","@LaVitaTuff I asked Jesus to bless me with a redskins lost nxt week",6
"1069","@SportsCenter @dallascowboys @redskins sad but true. However cowboys are the least clutch team I have ever seen. They will choke.",1
"1070","“Looks like Seattle plays the winner of the Cowboys vs Redskins game, which is for the NFC East title, in the playoffs. Road game for Sea.”",5
"1071","“@CowboysDaily: NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/iWeI4Vzt” @jcfigueroa022",6
"1072","RT @AngiejMason: Redskins Hats sold out in Atlanta because of RG3....smh!!",6
"1073","@efcviking true dat, jut can't see them making it tho, afc teams have been pretty poor this year, + redskins have been solid with rg3",6
"1074","Redskins in (before kickoff Sunday night) if Bears and Vikings lose.",10
"1075","To think the redskins started off 3-6 I don't like them but they earned a lil respect",5
"1076","Dear Santa...all I want for X-mas is a Dallas Cowboys Victory over these OVERRATED Redskins ....punctuated with a... http://t.co/w8wQi2b9",6
"1077","@ESPN_FirstTake #Redskins #HTTR",9
"1078","RT @Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/tvcjiGeQ",7
"1079","@SNFonNBC HAIL @RGIII ! #NFL #REDSKINS #SKINS #HTTR #WashDC #DMV #DC #RG3 #NFCEast #DALLAS #COWBOYS #TEXAS #TEX #TX",7
"1080","@3thunderty No worries...we gonna take them Redskins out next sunday",1
"1081","Been waiting a long time to promote in the neighborhood #redskins #httr http://t.co/C7TxuSkf",7
"1082","cowboys/Redskins game moved to Sunday at 8:30 ! #Primetime",10
"1083","This redskins game on Sunday night is going to be crazy as shit",10
"1084","@Chadwick180 @joe_theshow180 I concur, need to brush up on #NFL though #RG3 #OYB",6
"1085","@MiSsB_Lashea redskins and cowboys next week at 8:20 NFC East championship lol",1
"1086","Retweet if you going to the redskins vs cowboys game.",6
"1087","COWBOYS VS REDSKINS MOVED TO SUNDAY NITE WTF",10
"1088","RT @ESPNDallas: Dallas Cowboys-Washington Redskins battle for NFC East title moved to prime time http://t.co/OfvaQNxy",6
"1089","from last night... Ten Observations: #Redskins 27, Eagles 20 |  http://t.co/Hcao53IO",6
"1090","It's crazy we beat the boys next week we win the division crazy#redskins",1
"1091","Cowboys/Redskins game moved to Sunday night slot",10
"1092","#Redskins #NFL http://t.co/ANzsQTfS",6
"1093","RT @DC_Architect911: Can't wait till Sunday night #redskins",10
"1094","Tony Romo, Dallas Cowboys Playoff Dreams Still Alive - Fox News http://t.co/Hoz4fD9X #NFL #DallasCowboys",6
"1095","@ESPN_FirstTake oh dem cowboys r going to take it book i refuse to believe dat the ""WASHINGTON REDSKINS"" (Stephen a voice) will put us out",6
"1096","Finally an actual Redskins vs Dallas game that means something",6
"1097","@pdOT_cash_ave i meant to tell u but i fell asleep ok ! Giants have 2beat the eagles then redskins have to beat cowboys then they playoff",1
"1098","#HailYeah “@Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/F1Xtal6m”",7
"1099","PHOTO: Harper rocks #RG3 socks in church http://t.co/FSKXx8TB #Nats #Redskins #NFL #RedskinsTalk",6
"1100","I'm going to guess its the Cowboys right?  Two NFL network dudes did ""@BigManPauly: It seems that Jaws, from ESPN has made his prediction.""",6
"1101","@SportsCenter @dallascowboys @Redskins - whats  Romos record in December?  and lost yesterday to a bad team?  Really?",1
"1102","RT @JoeyLeall: cowboys/Redskins game moved to Sunday at 8:30 ! #Primetime",10
"1103","#TwitNewsNow New Orleans Saints 34, Dallas Cowboys 31: Stats that stand out http://t.co/MbwljEFG #NFL",6
"1104","Haha! Cant wait for Sunday night. #BeScaredOfBlackJesus! #Sweep RT @BP1892: Fuck the Redskins #Cunts",6
"1105","RT @john_keim: from last night... Ten Observations: #Redskins 27, Eagles 20 |  http://t.co/Hcao53IO",6
"1106","RT @Jsamsoniite: If Minnesota and Chicago both lose Sunday afternoon, the Redskins will clinch a playoff spot before they even kick off  ...",6
"1107","RT @HichenbergSKINS: Mara & Goodell STOLE cap money from the Redskins & Cowboys, yet we're (cont) http://t.co/eqztHaKS",6
"1108","It's Dallas Week, so just watch this on repeat @Redskins http://t.co/z8pOoTyc #HTTR",5
"1109","#TwitNewsNow Golden: After hard-fought loss, it’s not over for Cowboys http://t.co/ROfBzJsl #NFL",6
"1110","@lagloriacubano @sportscenter @dallascowboys @redskins oh I know... Cost me lots of money.",1
"1111","#Redskins .. #Knicks at the Top its just Us !!",5
"1112","@_JakeRussell throwback uniforms #Redskins",6
"1113","“@TheJadax: It's our turn #REDSKINS” #NoQuestion",7
"1114","Do the Redskins HAVE to wear their Throwback unis on Sunday Night???  Maybe I'm just superstitious but it seems like bad luck.",5
"1115","With the Doc Saturday night @Redskins http://t.co/QWP7LC3N",6
"1116","Dallas Redskins game moved to prime time.  Winner takes division & playoff spot. Doesn't get any better than that.",8
"1117","Although I'm an NY fan, I'm already excited for this Redskins vs Cowboys game!!!! My money is on RGIII if anyone is looking to bet...",6
"1118","@SportsCenter @dallascowboys @Redskins oh the skins are still getting NO love. It's cool we're used to it. Just win and shut everyone up",5
"1119","@Redskins free Cooley",6
"1120","Just Added: NFL Moves Cowboys/Redskins To Sunday Night With Their Flex Scheduling  http://t.co/kyGcA59L",5
"1121","RT @Redskin_Girl: @Jarvis99jenkins We still trippin down in South Carolina Love the Redskins ,now going to boil some peanuts for Christm ...",6
"1122","so the dallas vs redskins game is now at 8:20pm cuz they want it prime time for Sunday night football #i #can #dig #it",10
"1123","@Pretty_BYRDie mind joe business! Or the redskins vs. cowboys game on Sunday night...you pick",10
"1124","No redskins game for me:(",10
"1125","How bout Trent Richardson as write-in @BonnieBernstein: Today @dpshow Poll Question: Who should be NFL Off Rookie of Yr: Luck/RGIII/RWilson?",6
"1126","RT @redcarpetcrash: Just Added: NFL Moves Cowboys/Redskins To Sunday Night With Their Flex Scheduling  http://t.co/kyGcA59L",5
"1127","Redskins close in on division title; Week 16 NFL roundup http://t.co/yz8DpxzW",6
"1128","Everything in me says Redskins win next weekend but I just have a weird feeling romo is gonna pull it off. #cantwait #cowboys",5
"1129","Already 5x more action on Cowboys-Redskins in Vegas than any other game.  (via http://t.co/iUMuou9R)",6
"1130","The redskins cowboys game being moved to 820 made it even more nerve-wrecking",6
"1131","cowboys have a shot with 7 defensive starters out#nextmanup!!!@sportscenter @dallascowboys @redskins",6
"1132","“@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET” I am going to this game!!! #AHHHHHHHH #SOAWESOME",10
"1133","RT @_OtisJenkins: Redskins are going to win the nfc east @ESPN_FirstTake",9
"1134","@robcarpenter81 like Seahawks and Redskins did great last season",5
"1135","Redskins | Robert Griffin effective throwing the deep ball http://t.co/XswL8uvY",6
"1136","The Redskins Encyclopedia http://t.co/LnGOdVlF",6
"1137","@Redskins  One more game!! #BeatDownDallas",6
"1138","#NFL Jason Witten sets TE record in Cowboys loss http://t.co/BNiS4toO #SportsRoadhouse",6
"1139","Redskins vs. Cowboys moved to primetime...this shit gon be good #HTTR",7
"1140","Cowboys vs. Redskins For the Division Title moved to Primetime! #CANTWAIT #CowboysNation",6
"1141","Cowboys Redskins Sunday night!  Win and your in...",10
"1142","Face-Off: Redskins will win the NFC East http://t.co/O9fXbGRX #HTTR #HTRG",7
"1143","@SportsCenter @dallascowboys @redskins You forget 1 thing jaws.. R G 3!!! If u think what russ did to niners was nasty, just wait to see ths",5
"1144","RT @_EIIiott: awww yeah RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET",10
"1145","@SimoneBett  - I am back - I am here - go REDSKINS !",6
"1146","Who trynna bet on this redskins cowboys game?",6
"1147","#Chargers coming to DC n at #Redskins next season !!! Oh yes !!! I will be THERe!!!!",1
"1148","@MrHugo27 come on home to the redskins man. Lol",6
"1149","@Marcel_Brown94 True, but would you still give it RG3 if Redskins don't reach playoffs?",6
"1150","Cowboys playoff picture is clear: beat the Redskins next week and they're in http://t.co/rpIsE94m",1
"1151","“@C_clarke_3: Retweet if you going to the redskins vs cowboys game.” not to the actual game, but going to watch it if you wanna join.",6
"1152","How about them Redskins though 👌👍💯",6
"1153","@PaulLicini no bc even if the giants have the same record as the redskins, the redskins have better criteria so they need to win the wildcar",6
"1154","RT @GStar__Raw: “@TheJadax: It's our turn #REDSKINS” #NoQuestion",7
"1155","RG3 reportedly OK to start for Washington Redskins http://t.co/FjezF0Hp",6
"1156","Working today 11-4 then off to get my nails done.... gonna Rep my team #HTTR #Redskins #girlproblems",7
"1157","RT @wordplayy_dre: Cowboys/Redskins game moved to Sunday night slot",10
"1158","http://t.co/yf1ajJuG #teamfollowback #NFL #NowPlaying #NowFollowing #RETWEET #Support #shoutout #Salute #Cowboys @BlogTalkRadio_",6
"1159","#Chargers playing #Redskins next season at DC! 
Oh I’m going to that game!!!",1
"1160","Why wouldn't the Redskins have the tiebreaker over Dallas even if Dallas does win? Ties in division. Skins better Division record.",6
"1161","We Will Beat The Redskins. #Cowboysnation",1
"1162","RT @SuperSkin1: If you attend #Redskins games and show up in time for the 2nd Quarter,  please watch at home Sunday Night.  #SNFonNBC",10
"1163","“@boyscomedy: What does a Cowboys fan do after they win an NFL game? Turn off the xbox and go to bed.” @BrandonJL_  hahaha 😂😂",6
"1164","@dallascowboys WELL OUR SECONDARY LOST THE GAME FOR US AGAIN. WAY TO GO DALLAS.",1
"1165","@_TheRealSito cowboys redskins next sunday",1
"1166","@SportsCenter @dallascowboys @redskins Don't forget @RGIII",1
"1167","RT @Jarrettjack03: What she said!!! redskins all day RT @TherealTaraji: How about those Skinz?!?! ☝",6
"1168","Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  http://t.co/10btWOwP",4
"1169","Happy Holidays, Santa Tracker, NFL playoff picture, ...: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russ...",4
"1170","Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  http://t.co/Ag8B20Sw",4
"1171","Trending Online: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound o...",4
"1172","Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sou...  http://t.co/upE1x2FT",4
"1173","Week 17: NFL Flexes Dallas Cowboys vs. Washington Redskins Game For Sunday Night Football http://t.co/7SbTREeP via @BallHyped",10
"1174","#Eagles bow out at home to #Redskins: The Morning After  @steveolenski  http://t.co/SGB3ug6u",6
"1175","#Knicks #Hoyas #Wolverines #Redskins",6
"1176","RT @g00gletrends: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  h ...",4
"1177","#Hail to the Redskins #HTTR",7
"1178","RT @inRICHweTRUST: @_TheRealSito cowboys redskins next sunday",1
"1179","Eagles vs. Redskins: Final Report Card, Player Grades for Washington | Bleacher Report http://t.co/o5SQNVdy via @bleacherreport",6
"1180","NFC East Showdown Flexed To Prime Time: NEW YORK (AP) — The Dallas Cowboys-Washington Redskins game that will de... http://t.co/fJQO5ta8",6
"1181","Damn right! RT @dallascowboys: RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET",10
"1182","@ESPN_FirstTake Washington Redskins.",9
"1183","I have always hated redskins but I'd be a complete hater to talk shit bein they have potential this season RG3 has heart. Nothin but respect",6
"1184","""If the #Redskins lose..."" Yeah right! You wish #cowgirls @TheHogsdotNet @NoeSkin @RedskinsPonch #HTTR #RedskinsTalk",7
"1185","@SportsCenter @dallascowboys @Redskins I could have said that.....and he list yesterday right? Come on!",1
"1186","no caps RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins",6
"1187","#Redskins-#Cowboys Week 17 game is moved to prime time on NBC: http://t.co/GWJFWRud",8
"1188","RT @kita_skinsbaby: ITS A GOOD DAY TO BE A REDSKINS FAN #HTTR #HAILYEAH",7
"1189","NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/TO8JZmNt",6
"1190","Make da playoffs first lolRT @Ki2YourHeart_: @MrHugo27 come on home to the redskins man. Lol",6
"1191","It's fin to get REAL at FedEx on Sunday night #HTTR #RG3TV #Redskins",7
"1192","RT @StevensJonah: “@boyscomedy: What does a Cowboys fan do after they win an NFL game? Turn off the xbox and go to bed.” @BrandonJL_  ha ...",6
"1193","RT @Suck_Mi_Pum_Pum: I have always hated redskins but I'd be a complete hater to talk shit bein they have potential this season RG3 has  ...",6
"1194","I cool with Georgetown but that's where it stops Lol RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins",6
"1195","@Redskins were going to win on sunday, but if we don't, who is the divisional champ? #RedskinsNation",6
"1196","He's still Romo. He'll find a way to lose. @SportsCenter @dallascowboys @Redskins",1
"1197","@TheJadax #REDSKINS #notfollowed #HTTR",7
"1198","Even though we lost yesterday... We always make shit interesting. BUT we can not fall to far behind the redskins. Like game one against em.",6
"1199","“@TheJadax #REDSKINS fans let me know if I'm not following back”<<get me",6
"1200","Cowboys vs Redskins has been moved to Sunday night football 😁",10
"1201","RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins",6
"1202","@Sinclair_Alex the redskins Dallas game is a 1 o'clock start! Why do they do this to me",6
"1203","Because some have asked, if Chicago and Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",5
"1204","Faltou combinar isso com RG3 RT @Louidy_: @nfldeboteco 100%, Os Cowboys não perdem para o redskins",6
"1205","RT @MFORREST_SR: #HailYeah “@Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/F1Xtal6m”",7
"1206","RT @rdragonne: ""If the #Redskins lose..."" Yeah right! You wish #cowgirls @TheHogsdotNet @NoeSkin @RedskinsPonch #HTTR #RedskinsTalk",7
"1207","PLÈEEEEEÈEEEEEEEASE ket Tanny get canned...Please ALSO let them not sign Vick or the Redskins old GM",6
"1208","@SportsCenter @dallascowboys @Redskins. The dude is playing lights out.  Rob Ryan will come up with a great plan to stop RGIII",1
"1209","Redskins,Lakers are the best",6
"1210","RT @HomerMcFanboy: ... if Chicago AND Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",5
"1211","@Giiiles don't feed me that. You and I both know the only reason you RTed that was cause it was bad about the Redskins.",6
"1212","#Google #Hot #News Dallas Cowboys: Players Who Must Step Up in Tell-All Game Against Redskins http://t.co/BUMq6nLB #TeamFollowBack YANews",6
"1213","RT @SimplyTheeBestt: MY REDSKINS WON. COWBOYS LOST & THE GIANTS TAKING THIS L. Good Sunday #HTTR",7
"1214","@JiggaGstylz @espnnfl @dallascowboys @redskins I believe it's the perfect turn of events",6
"1215","RT @AEBII_89: We Will Beat The Redskins. #Cowboysnation",1
"1216","REDSKINS GOING THE DISTANCE.",6
"1217","RT @ChrisBallejos: S/O to the only 2 Redskins fans I follow (I think) @BigBennyRadio and @MrLujan! Next Sunday Night! Bout to be a war!",6
"1218","I want my TL 99% redskins tweets....rest of y'all fucks gotta go",7
"1219","RT @Tr3y__: It's fin to get REAL at FedEx on Sunday night #HTTR #RG3TV #Redskins",7
"1220","Panthers and Redskins win --- some days my hubby is just oh so happy!",5
"1221","Merry Christmas from the Washington Redskins III #pancakesbitches",6
"1222","Saints' Greer sustains concussion vs. Cowboys http://t.co/EBU83B3q",6
"1223","“@TheJadax: I want my TL 99% redskins tweets....rest of y'all fucks gotta go” NOPE LOL",7
"1224","We need lions . We need redskins. We need packers. And we need some SUPER BOWL CHAMPION GIANTS FOOTBALLLLLLLLLL",6
"1225","“With his 17th, Redskins' K Kai #Forbath set a new mark for consecutive field goals made to start a career: http://t.co/b4jhDgmL",6
"1226","I'm going to buy Falcons playoff tickets when they release on Thursday hoping the Redskins play them. So don't blow it Skins.",6
"1227","RT @Tr3y__: RT @HomerMcFanboy: ... if Chicago AND Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",5
"1228","Asked if he felt like himself,Rg3 replies“We won the game.I was playing quarterback for the Redskins,so I felt like myself out there.”#HTRG3",5
"1229","At the NFL Dallas Cowboys vs New Orleans Saints Match! http://t.co/F5xzZ3es",6
"1230","Patriots RT @TheJadax: I want my TL 99% redskins tweets....rest of y'all fucks gotta go",7
"1231","I'm ready to hunt Cowboys Sunday night... Who's with me.... HAIL TO THE REDSKINS! #HTTR",7
"1232","RT @purpleraiders: Former @purpleraiders WR @PierreGarcon had 7 catches for 89 yards in #redskins 27-20 win over #eagles #nfl #d3fb",6
"1233","“@ESPNDallas: Redemption is just a week away for #Cowboys. Will they make the playoffs? http://t.co/QYRIIWjf”",5
"1234","@espn_nfceast Why would the Cowboys win the division whit a win..when The Redskins have a better conf record and the exact division record",6
"1235","Redskins’ Update: Cousins to Start Sunday... http://t.co/5eB4p9fa",6
"1236","- Happy Holidays - Santa Tracker - NFL playoff picture - Dallas Cowboys - Russell Wilson - Sound of Music - Bruno…",4
"1237","Dallas Cowboys Fleece Tie Blanket  http://t.co/Ge4LRQYz  #dallascowboys #tonyromo #cowboysbaby #nfl #football #birthdaygiftidea #crafts",6
"1238","Lmao RT @BraggHill_Crazy: Merry Christmas from the Washington Redskins III #pancakesbitches",6
"1239","@ESPN_FirstTake I believe RG3 will lead the Redskins to victory next week against Cowboys and taking NFC east. He's special!",9
"1240","RT @nfl League flexes Dallas Cowboys-Washington Redskins game for Sunday night. http://t.co/zMN8ITXJ #DALvsWAS #SNF",10
"1241","Washington Redskins: How to Beat the Philadelphia Eagles http://t.co/GpnvaRLD #NFL",6
"1242","RT @Nico50Goffredo: Cowboys vs. Redskins For the Division Title moved to Primetime! #CANTWAIT #CowboysNation",6
"1243","They are locked out RT @ImThatRealMF: no caps RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins",6
"1244","2012 #AFC Playoff Field is SET: #Texans, #Broncos, #Patriots, #Ravens, #Colts, & #Bengals. #NFL #HTTR #SKINS #REDSKINS #WashDC #DC #DMV",3
"1245","@niecebby__ so how bout them redskins!!!!👍👌😁😁",6
"1246","@G_MUCKA if we beat the redskins were in",1
"1247","RT @CashJunkieTae: @niecebby__ so how bout them redskins!!!!👍👌😁😁",6
"1248","@TheHerd why aren't the Redskins automatically in with Gmen and Cowboys losses yesterday?",6
